,,,Value,Symbol
Montenegro,Treated municipal wastewater,9,0.0089,I
Morocco,Desalinated water produced,3,0.007,I
Morocco,Direct use of treated municipal wastewater,6,0.07,I
Morocco,Produced municipal wastewater,12,0.7,
Morocco,Not treated municipal wastewater,17,0.501,I
Morocco,Treated municipal wastewater,23,0.166,I
Morocco,Not treated municipal wastewater discharged (secondary water),28,0.25,I
Morocco,Direct use of not treated municipal wastewater for irrigation purposes,32,0.012,I
Mozambique,Treated municipal wastewater,3,0.0,I
Myanmar,Treated municipal wastewater,3,0.0,I
Namibia,Desalinated water produced,3,0.0003,I
Namibia,Direct use of treated municipal wastewater,9,0.0058,I
Namibia,Produced municipal wastewater,12,0.0195,I
Namibia,Treated municipal wastewater,18,0.006,I
Namibia,Treated municipal wastewater discharged (secondary water),24,0.0002,I
Nepal,Treated municipal wastewater,1,0.006,I
Netherlands,Produced municipal wastewater,3,1.9432,I
Netherlands,Collected municipal wastewater,8,1.9078,I
Netherlands,Not treated municipal wastewater,13,0.059,I
Netherlands,Treated municipal wastewater,19,1.9078,I
Netherlands,Treated municipal wastewater discharged (secondary water),23,1.831,I
Nicaragua,Desalinated water produced,3,0.0002,I
Nicaragua,Direct use of treated municipal wastewater,8,0.0011,I
Nicaragua,Produced municipal wastewater,14,0.304,I
Nicaragua,Collected municipal wastewater,17,0.1793,I
Nicaragua,Not treated municipal wastewater,23,0.1928,I
Nicaragua,Treated municipal wastewater,29,0.1112,I
Nicaragua,Treated municipal wastewater discharged (secondary water),34,0.0056,I
Niger,Produced municipal wastewater,0,0.0396,I
Nigeria,Desalinated water produced,3,0.003,I
Norway,Desalinated water produced,3,0.0001,I
Norway,Produced municipal wastewater,6,0.93,I
Norway,Collected municipal wastewater,9,0.883,I
Oman,Desalinated water produced,3,0.19525,I
Oman,Direct use of treated municipal wastewater,8,0.0594090909,I
Oman,Produced municipal wastewater,13,0.1027058824,I
Oman,Collected municipal wastewater,15,0.080875,I
Oman,Not treated municipal wastewater,19,0.0802,I
Oman,Treated municipal wastewater,24,0.0332857143,I
Pakistan,Produced municipal wastewater,2,3.06,I
Pakistan,Not treated municipal wastewater,6,1.022,I
Pakistan,Treated municipal wastewater,11,0.0306,I
Pakistan,Not treated municipal wastewater discharged (secondary water),14,1.438,
Pakistan,Direct use of not treated municipal wastewater for irrigation purposes,18,1.022,I
Palestine,Direct use of treated municipal wastewater,3,0.0032333333,I
Panama,Produced municipal wastewater,2,0.394,I
