,,Year,Value,Symbol
Harvested irrigated temporary crop area: Potatoes,Armenia,2012,24.0,I
Harvested irrigated temporary crop area: Potatoes,Armenia,2017,24.0,I
Harvested irrigated temporary crop area: Potatoes,Armenia,2018,24.0,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,1997,32.6,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,2002,32.6,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,2007,32.6,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,2012,32.6,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,2017,32.6,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,2018,32.6,I
Harvested irrigated temporary crop area: Sugar beet,Armenia,2007,0.2,I
Harvested irrigated temporary crop area: Sugar beet,Armenia,2012,0.2,I
Harvested irrigated temporary crop area: Sugar beet,Armenia,2017,0.2,I
Harvested irrigated temporary crop area: Sugar beet,Armenia,2018,0.2,I
Harvested irrigated temporary crop area: Leguminous crops,Armenia,2007,2.0,I
Harvested irrigated temporary crop area: Leguminous crops,Armenia,2012,2.0,I
Harvested irrigated temporary crop area: Leguminous crops,Armenia,2017,2.0,I
Harvested irrigated temporary crop area: Leguminous crops,Armenia,2018,2.0,I
Harvested irrigated temporary crop area: Vegetables,Armenia,1997,21.4,I
Harvested irrigated temporary crop area: Vegetables,Armenia,2002,22.4,I
Harvested irrigated temporary crop area: Vegetables,Armenia,2007,23.2,I
Harvested irrigated temporary crop area: Vegetables,Armenia,2012,23.2,I
Harvested irrigated temporary crop area: Vegetables,Armenia,2017,23.2,I
Harvested irrigated temporary crop area: Vegetables,Armenia,2018,23.2,I
Harvested irrigated temporary crop area: Tobacco,Armenia,2007,0.2,I
Harvested irrigated temporary crop area: Tobacco,Armenia,2012,0.2,I
Harvested irrigated temporary crop area: Tobacco,Armenia,2017,0.2,I
Harvested irrigated temporary crop area: Tobacco,Armenia,2018,0.2,I
Harvested irrigated temporary crop area: Fodder,Armenia,2007,26.0,I
Harvested irrigated temporary crop area: Fodder,Armenia,2012,26.0,I
Harvested irrigated temporary crop area: Fodder,Armenia,2017,26.0,I
Harvested irrigated temporary crop area: Fodder,Armenia,2018,26.0,I
Harvested irrigated temporary crop area: Sunflower,Armenia,2007,0.2,I
Harvested irrigated temporary crop area: Sunflower,Armenia,2012,0.2,I
Harvested irrigated temporary crop area: Sunflower,Armenia,2017,0.2,I
Harvested irrigated temporary crop area: Sunflower,Armenia,2018,0.2,I
Harvested irrigated temporary crop area: Other crops,Armenia,1997,4.2456363636,I
