,,Year,Value,Symbol
Produced municipal wastewater,China,2002,23.23,OF
Produced municipal wastewater,China,2012,46.27,OF
Produced municipal wastewater,China,2017,48.51,I
Produced municipal wastewater,China,2018,48.51,I
Collected municipal wastewater,China,2012,31.14,I
Collected municipal wastewater,China,2017,31.14,I
Collected municipal wastewater,China,2018,31.14,I
Not treated municipal wastewater,China,2002,17.98,I
Not treated municipal wastewater,China,2017,2.49,I
Not treated municipal wastewater,China,2018,2.49,I
Treated municipal wastewater,China,2002,5.785,I
Treated municipal wastewater,China,2007,19.03,OF
Treated municipal wastewater,China,2012,42.37,OF
Treated municipal wastewater,China,2017,49.31,I
Treated municipal wastewater,China,2018,49.31,I
Treated municipal wastewater discharged (secondary water),China,2017,42.16,I
Treated municipal wastewater discharged (secondary water),China,2018,42.16,I
Produced municipal wastewater,Colombia,1997,2.096,I
Produced municipal wastewater,Colombia,2002,2.106,I
Produced municipal wastewater,Colombia,2007,2.18425,I
Produced municipal wastewater,Colombia,2012,2.397,I
Produced municipal wastewater,Colombia,2017,2.397,I
Produced municipal wastewater,Colombia,2018,2.397,I
Not treated municipal wastewater,Colombia,1997,1.9605833333,I
Not treated municipal wastewater,Colombia,2002,2.0035,I
Not treated municipal wastewater,Colombia,2007,2.0464166667,I
Not treated municipal wastewater,Colombia,2012,1.8,I
Not treated municipal wastewater,Colombia,2017,1.8,I
Not treated municipal wastewater,Colombia,2018,1.8,I
Treated municipal wastewater,Colombia,1997,0.143,I
Treated municipal wastewater,Colombia,2002,0.148,I
Treated municipal wastewater,Colombia,2007,0.153,I
Treated municipal wastewater,Colombia,2012,0.154,I
Treated municipal wastewater,Colombia,2017,0.154,I
Treated municipal wastewater,Colombia,2018,0.154,I
Treated municipal wastewater,Congo,1997,0.0,I
Treated municipal wastewater,Congo,2002,0.0,I
Treated municipal wastewater,Congo,2007,0.0,I
Treated municipal wastewater,Congo,2012,0.0,I
Treated municipal wastewater,Congo,2017,0.0,I
Treated municipal wastewater,Congo,2018,0.0,I
Desalinated water produced,Costa Rica,2017,0.0031,I
Desalinated water produced,Costa Rica,2018,0.0031,I
Produced municipal wastewater,Costa Rica,2002,0.124,I
Produced municipal wastewater,Costa Rica,2007,0.219,I
Collected municipal wastewater,Costa Rica,2017,0.084,I
Collected municipal wastewater,Costa Rica,2018,0.084,I
Not treated municipal wastewater,Costa Rica,2002,0.1119166667,I
Not treated municipal wastewater,Costa Rica,2007,0.1894583333,I
Not treated municipal wastewater,Costa Rica,2017,0.267,I
Not treated municipal wastewater,Costa Rica,2018,0.267,I
Treated municipal wastewater,Costa Rica,2002,0.0120833333,I
Treated municipal wastewater,Costa Rica,2007,0.0295416667,I
Produced municipal wastewater,Croatia,2007,0.211,OF
