,,Year,Value,Symbol
Total renewable surface water,Argentina,2012,860.24,E
Total renewable surface water,Argentina,2017,860.24,E
Total renewable surface water,Argentina,2018,860.24,E
Total renewable groundwater,Argentina,1997,128.0,E
Total renewable groundwater,Argentina,2002,128.0,E
Total renewable groundwater,Argentina,2007,128.0,E
Total renewable groundwater,Argentina,2012,128.0,E
Total renewable groundwater,Argentina,2017,128.0,E
Total renewable groundwater,Argentina,2018,128.0,E
Water resources: total external renewable,Argentina,1997,584.24,E
Water resources: total external renewable,Argentina,2002,584.24,E
Water resources: total external renewable,Argentina,2007,584.24,E
Water resources: total external renewable,Argentina,2012,584.24,E
Water resources: total external renewable,Argentina,2017,584.24,E
Water resources: total external renewable,Argentina,2018,584.24,E
Total renewable water resources,Argentina,1997,876.24,E
Total renewable water resources,Argentina,2002,876.24,E
Total renewable water resources,Argentina,2007,876.24,E
Total renewable water resources,Argentina,2012,876.24,E
Total renewable water resources,Argentina,2017,876.24,E
Total renewable water resources,Argentina,2018,876.24,E
Total renewable water resources per capita,Argentina,1997,24573.8412604005,E
Total renewable water resources per capita,Argentina,2002,23253.6976985861,E
Total renewable water resources per capita,Argentina,2007,22080.2713012793,E
Total renewable water resources per capita,Argentina,2012,20985.172719582,E
Total renewable water resources per capita,Argentina,2017,19943.0368021223,E
Total renewable water resources per capita,Argentina,2018,19752.4185013238,E
Total internal renewable water resources (IRWR),Armenia,1997,6.859,E
Total internal renewable water resources (IRWR),Armenia,2002,6.859,E
Total internal renewable water resources (IRWR),Armenia,2007,6.859,E
Total internal renewable water resources (IRWR),Armenia,2012,6.859,E
Total internal renewable water resources (IRWR),Armenia,2017,6.859,E
Total internal renewable water resources (IRWR),Armenia,2018,6.859,E
Total internal renewable water resources per capita,Armenia,1997,2189.2132652472,E
Total internal renewable water resources per capita,Armenia,2002,2260.728324332,E
Total internal renewable water resources per capita,Armenia,2007,2338.865818869,E
Total internal renewable water resources per capita,Armenia,2012,2378.1010833379,E
Total internal renewable water resources per capita,Armenia,2017,2329.1975559556,E
Total internal renewable water resources per capita,Armenia,2018,2323.7102120949,E
Total renewable surface water,Armenia,1997,4.858,E
Total renewable surface water,Armenia,2002,4.858,E
Total renewable surface water,Armenia,2007,4.858,E
Total renewable surface water,Armenia,2012,4.858,E
Total renewable surface water,Armenia,2017,4.858,E
Total renewable surface water,Armenia,2018,4.858,E
Total renewable groundwater,Armenia,1997,4.311,E
Total renewable groundwater,Armenia,2002,4.311,E
Total renewable groundwater,Armenia,2007,4.311,E
Total renewable groundwater,Armenia,2012,4.311,E
Total renewable groundwater,Armenia,2017,4.311,E
Total renewable groundwater,Armenia,2018,4.311,E
Water resources: total external renewable,Armenia,1997,0.91,E
Water resources: total external renewable,Armenia,2002,0.91,E
Water resources: total external renewable,Armenia,2007,0.91,E
Water resources: total external renewable,Armenia,2012,0.91,E
Water resources: total external renewable,Armenia,2017,0.91,E
Water resources: total external renewable,Armenia,2018,0.91,E
Total renewable water resources,Armenia,1997,7.769,E
Total renewable water resources,Armenia,2002,7.769,E
Total renewable water resources,Armenia,2007,7.769,E
Total renewable water resources,Armenia,2012,7.769,E
Total renewable water resources,Armenia,2017,7.769,E
Total renewable water resources,Armenia,2018,7.769,E
Total renewable water resources per capita,Armenia,1997,2479.6614459404,E
Total renewable water resources per capita,Armenia,2002,2560.6645796377,E
Total renewable water resources per capita,Armenia,2007,2649.1687632007,E
Total renewable water resources per capita,Armenia,2012,2693.6094644193,E
Total renewable water resources per capita,Armenia,2017,2638.2177886308,E
Total renewable water resources per capita,Armenia,2018,2632.0024256838,E
Total internal renewable water resources (IRWR),Australia,1997,492.0,E
Total internal renewable water resources (IRWR),Australia,2002,492.0,E
Total internal renewable water resources (IRWR),Australia,2007,492.0,E
Total internal renewable water resources (IRWR),Australia,2012,492.0,E
Total internal renewable water resources (IRWR),Australia,2017,492.0,E
Total internal renewable water resources (IRWR),Australia,2018,492.0,E
Total internal renewable water resources per capita,Australia,1997,26757.7241446148,E
Total internal renewable water resources per capita,Australia,2002,25359.0365380421,E
Total internal renewable water resources per capita,Australia,2007,23522.2752121499,E
Total internal renewable water resources per capita,Australia,2012,21481.0127930783,E
Total internal renewable water resources per capita,Australia,2017,20012.5118875134,E
Total internal renewable water resources per capita,Australia,2018,19760.5027071889,E
Total renewable surface water,Australia,1997,440.0,E
Total renewable surface water,Australia,2002,440.0,E
Total renewable surface water,Australia,2007,440.0,E
Total renewable surface water,Australia,2012,440.0,E
Total renewable surface water,Australia,2017,440.0,E
Total renewable surface water,Australia,2018,440.0,E
Total renewable groundwater,Australia,1997,72.0,E
Total renewable groundwater,Australia,2002,72.0,E
Total renewable groundwater,Australia,2007,72.0,E
Total renewable groundwater,Australia,2012,72.0,E
Total renewable groundwater,Australia,2017,72.0,E
Total renewable groundwater,Australia,2018,72.0,E
Total exploitable water resources,Australia,1997,190.0,OF
Total exploitable water resources,Australia,2002,190.0,OF
Total exploitable water resources,Australia,2007,190.0,OF
Total exploitable water resources,Australia,2012,190.0,OF
Water resources: total external renewable,Australia,1997,0.0,E
Water resources: total external renewable,Australia,2002,0.0,E
Water resources: total external renewable,Australia,2007,0.0,E
Water resources: total external renewable,Australia,2012,0.0,E
Water resources: total external renewable,Australia,2017,0.0,E
Water resources: total external renewable,Australia,2018,0.0,E
Total renewable water resources,Australia,1997,492.0,E
Total renewable water resources,Australia,2002,492.0,E
Total renewable water resources,Australia,2007,492.0,E
Total renewable water resources,Australia,2012,492.0,E
Total renewable water resources,Australia,2017,492.0,E
Total renewable water resources,Australia,2018,492.0,E
Total renewable water resources per capita,Australia,1997,26757.7241446148,E
Total renewable water resources per capita,Australia,2002,25359.0365380421,E
Total renewable water resources per capita,Australia,2007,23522.2752121499,E
Total renewable water resources per capita,Australia,2012,21481.0127930783,E
Total renewable water resources per capita,Australia,2017,20012.5118875134,E
Total renewable water resources per capita,Australia,2018,19760.5027071889,E
Total internal renewable water resources (IRWR),Austria,1997,55.0,E
Total internal renewable water resources (IRWR),Austria,2002,55.0,E
Total internal renewable water resources (IRWR),Austria,2007,55.0,E
Total internal renewable water resources (IRWR),Austria,2012,55.0,E
Total internal renewable water resources (IRWR),Austria,2017,55.0,E
Total internal renewable water resources (IRWR),Austria,2018,55.0,E
Total internal renewable water resources per capita,Austria,1997,6846.8628172525,E
Total internal renewable water resources per capita,Austria,2002,6761.3983653643,E
Total internal renewable water resources per capita,Austria,2007,6615.5568789342,E
Total internal renewable water resources per capita,Austria,2012,6468.8933852272,E
Total internal renewable water resources per capita,Austria,2017,6235.8976591687,E
Total internal renewable water resources per capita,Austria,2018,6185.7608733305,E
Total renewable surface water,Austria,1997,77.7,E
Total renewable surface water,Austria,2002,77.7,E
Total renewable surface water,Austria,2007,77.7,E
Total renewable surface water,Austria,2012,77.7,E
Total renewable surface water,Austria,2017,77.7,E
Total renewable surface water,Austria,2018,77.7,E
Total renewable groundwater,Austria,1997,6.0,E
Total renewable groundwater,Austria,2002,6.0,E
Total renewable groundwater,Austria,2007,6.0,E
Total renewable groundwater,Austria,2012,6.0,E
Total renewable groundwater,Austria,2017,6.0,E
Total renewable groundwater,Austria,2018,6.0,E
Total exploitable water resources,Austria,1997,93.0,E
Total exploitable water resources,Austria,2002,93.0,E
Total exploitable water resources,Austria,2007,93.0,E
Total exploitable water resources,Austria,2012,93.0,E
Total exploitable water resources,Austria,2017,93.0,E
Total exploitable water resources,Austria,2018,93.0,E
Water resources: total external renewable,Austria,1997,22.7,E
Water resources: total external renewable,Austria,2002,22.7,E
Water resources: total external renewable,Austria,2007,22.7,E
Water resources: total external renewable,Austria,2012,22.7,E
Water resources: total external renewable,Austria,2017,22.7,E
Water resources: total external renewable,Austria,2018,22.7,E
Total renewable water resources,Austria,1997,77.7,E
Total renewable water resources,Austria,2002,77.7,E
Total renewable water resources,Austria,2007,77.7,E
Total renewable water resources,Austria,2012,77.7,E
Total renewable water resources,Austria,2017,77.7,E
Total renewable water resources,Austria,2018,77.7,E
Total renewable water resources per capita,Austria,1997,9672.7498345549,E
Total renewable water resources per capita,Austria,2002,9552.0118725238,E
Total renewable water resources per capita,Austria,2007,9345.9776271489,E
Total renewable water resources per capita,Austria,2012,9138.7821096755,E
Total renewable water resources per capita,Austria,2017,8809.6226930438,E
Total renewable water resources per capita,Austria,2018,8738.7930883232,E
Total internal renewable water resources (IRWR),Azerbaijan,1997,8.115,E
Total internal renewable water resources (IRWR),Azerbaijan,2002,8.115,E
Total internal renewable water resources (IRWR),Azerbaijan,2007,8.115,E
Total internal renewable water resources (IRWR),Azerbaijan,2012,8.115,E
Total internal renewable water resources (IRWR),Azerbaijan,2017,8.115,E
Total internal renewable water resources (IRWR),Azerbaijan,2018,8.115,E
Total internal renewable water resources per capita,Azerbaijan,1997,1023.8884596226,E
Total internal renewable water resources per capita,Azerbaijan,2002,980.4204656701,E
