,,Year,Value,Symbol
Total freshwater withdrawal,Djibouti,2002,0.019,I
Total freshwater withdrawal,Djibouti,2007,0.019,I
Total freshwater withdrawal,Djibouti,2012,0.019,I
Total freshwater withdrawal,Djibouti,2017,0.019,I
Total freshwater withdrawal,Djibouti,2018,0.019,I
Fresh surface water withdrawal,Dominica,2007,0.0183,I
Fresh surface water withdrawal,Dominica,2012,0.02,I
Fresh surface water withdrawal,Dominica,2017,0.02,I
Fresh surface water withdrawal,Dominica,2018,0.02,I
Fresh groundwater withdrawal,Dominica,2007,0.0,I
Fresh groundwater withdrawal,Dominica,2012,0.0,I
Fresh groundwater withdrawal,Dominica,2017,0.0,I
Fresh groundwater withdrawal,Dominica,2018,0.0,I
Total freshwater withdrawal,Dominica,1997,0.0166,I
Total freshwater withdrawal,Dominica,2002,0.0166,I
Total freshwater withdrawal,Dominica,2007,0.0183,I
Total freshwater withdrawal,Dominica,2012,0.02,I
Total freshwater withdrawal,Dominica,2017,0.02,I
Total freshwater withdrawal,Dominica,2018,0.02,I
Fresh groundwater withdrawal,Dominican Republic,1997,0.386,I
Fresh groundwater withdrawal,Dominican Republic,2002,0.386,I
Fresh groundwater withdrawal,Dominican Republic,2007,0.386,I
